date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:10	702220/702220	---MCZ	200	added ('OK')	text/html	etag:W/%22ccbce8648e9a060b06f4b3ed52d34359%22	https://www.georgiahomemovers.com/	C:/My%20Web%20Sites/GMT1/www.georgiahomemovers.com/index.html	(from )
19:41:10	460/460	---M--	200	added ('OK')	text/plain	etag:W/%221cc-KYO44TvP9LpWQ7CqmDSa8NDdudk%22	https://www.georgiahomemovers.com/robots.txt		(from )
19:41:10	2948/2948	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Aug%202023%2015:37:18%20GMT	https://static.wixstatic.com/media/1805aa_ef4c8459782648218b517ef644362dc6~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/1805aa_ef4c8459782648218b517ef644362dc6~mv2.png	C:/My%20Web%20Sites/GMT1/static.wixstatic.com/media/1805aa_ef4c8459782648218b517ef644362dc6_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/1805aa_ef4c8459782648218b517ef644362dc6_mv2.png	(from https://www.georgiahomemovers.com/)
19:41:10	55221/55221	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Aug%202023%2018:53:38%20GMT	https://static.wixstatic.com/media/1805aa_ef4c8459782648218b517ef644362dc6~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/1805aa_ef4c8459782648218b517ef644362dc6~mv2.png	C:/My%20Web%20Sites/GMT1/static.wixstatic.com/media/1805aa_ef4c8459782648218b517ef644362dc6_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/1805aa_ef4c8459782648218b517ef644362dc6_mv2.png	(from https://www.georgiahomemovers.com/)
19:41:11	61555/61555	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Aug%202023%2012:37:35%20GMT	https://static.wixstatic.com/media/1805aa_ef4c8459782648218b517ef644362dc6~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/1805aa_ef4c8459782648218b517ef644362dc6~mv2.png	C:/My%20Web%20Sites/GMT1/static.wixstatic.com/media/1805aa_ef4c8459782648218b517ef644362dc6_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/1805aa_ef4c8459782648218b517ef644362dc6_mv2.png	(from https://www.georgiahomemovers.com/)
19:41:11	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/GMT1/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.georgiahomemovers.com/)
19:41:11	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/GMT1/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.georgiahomemovers.com/)
19:41:12	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2009%20Aug%202023%2015:35:19%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/GMT1/polyfill.io/v3/polyfill.mind82c.js	(from https://www.georgiahomemovers.com/)
19:41:12	40949/40949	---M--	200	added ('OK')	image/png	etag:%22d6793e194624ea8a9de511b9e7c63bf0%22	https://static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/sloppyframe.d2412ec4.png	C:/My%20Web%20Sites/GMT1/static.parastorage.com/services/editor-elements-library/dist/thunderbolt/media/sloppyframe.d2412ec4.png	(from https://www.georgiahomemovers.com/)
19:41:13	582/582	---M--	200	added ('OK')	text/xml	date:Sat,%2012%20Aug%202023%2023:41:13%20GMT	https://www.georgiahomemovers.com/blog-feed.xml	C:/My%20Web%20Sites/GMT1/www.georgiahomemovers.com/blog-feed.xml	(from https://www.georgiahomemovers.com/)
19:41:13	23234/23234	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Aug%202023%2018:39:01%20GMT	https://static.wixstatic.com/media/1805aa_ef4c8459782648218b517ef644362dc6~mv2.png/v1/fill/w_107,h_110,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/ga%20home%20movers.png	C:/My%20Web%20Sites/GMT1/static.wixstatic.com/media/1805aa_ef4c8459782648218b517ef644362dc6_mv2.png/v1/fill/w_107,h_110,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/ga%20home%20movers.png	(from https://www.georgiahomemovers.com/)
19:41:15	554261/554261	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Aug%202023%2023:41:14%20GMT	https://www.georgiahomemovers.com/localmoving	C:/My%20Web%20Sites/GMT1/www.georgiahomemovers.com/localmoving.html	(from https://www.georgiahomemovers.com/)
19:41:16	509089/509089	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Aug%202023%2023:41:14%20GMT	https://www.georgiahomemovers.com/longdistancemoving	C:/My%20Web%20Sites/GMT1/www.georgiahomemovers.com/longdistancemoving.html	(from https://www.georgiahomemovers.com/)
